白灼菜心 白灼秋葵
酸辣鸡爪 酸辣鸡杂
辣炒年糕 辣炒花甲
焖牛腩 焖猪脚
醋溜白菜 醋溜土豆丝
烤鸡翅 烤羊排
清蒸多宝鱼 清蒸大闸蟹
清炒小白菜 清炒丝瓜
麻辣豆腐 麻辣土豆片
香辣小龙虾 香辣鸡爪
炒花蛤 炒蚬子
炒蒜苗 炒藕片
凉拌苦瓜 凉拌皮蛋
凉拌苦菊 凉拌海蜇
爆炒牛肉 爆炒鸡胗
炖蛋 炖燕窝
烧牛腩 烧小黄鱼
麻辣牛肉干 麻辣香肠
煎口蘑 煎年糕
煎鱼 煎猪扒
酸辣藕片 酸辣包菜
酸辣土豆丝 酸辣蕨根粉
干煸鸡 干煸肥肠
辣炒鱿鱼 辣炒田螺
油焖大虾 油焖尖椒
拔丝地瓜 拔丝苹果
酿苦瓜 酿茄子
溜鱼片 溜肥肠
宫保鸡丁 宫保虾球
脆皮豆腐 脆皮烧肉
蒜蓉粉丝娃娃菜 蒜蓉粉丝扇贝
白菜炖豆腐 白菜炖粉条
辣白菜炒五花肉 辣白菜炒年糕
冰糖雪梨 冰糖金桔
蚝油生菜 蚝油西兰花
泡椒凤爪 泡椒牛蛙
蒜蓉金针菇 蒜蓉油麦菜
芝士焗大虾 芝士焗土豆泥
酒酿蛋 酒酿圆子
茭白炒肉 蒜苗炒肉
芦笋炒虾仁 芦笋炒蘑菇
包菜炒粉丝 鸡蛋炒粉丝
羊肉炖萝卜 牛腩炖萝卜
木瓜炖牛奶 花胶炖牛奶
青椒塞肉 油面筋塞肉
排骨豆角焖面 土豆豆角焖面
凉拌豆腐 凉拌皮蛋豆腐
肉末四季豆 榄菜肉末四季豆
焖鸡 鲍鱼焖鸡
炒牛肉 胡萝卜炒牛肉
